Text,Date,No_of_likes,No_of_comments,Year,Clean_Text,Sentiment,Confidence
"𝑳𝒆𝒂𝒅𝒆𝒓 𝒐𝒇 𝑶𝒑𝒑𝒐𝒔𝒊𝒕𝒊𝒐𝒏 𝒊𝒏 𝑳𝒐𝒌 𝑺𝒂𝒃𝒉𝒂 #AtalBihariVajpayeeJi as the Leader of Opposition, spoke with a fervor against corruption that still echoes in the halls of the Lok Sabha. . #AtalBihariVajpayeeJayanti #IndianPolitics",2023-12-25 09:21:00,3,1,2024,"𝑳𝒆𝒂𝒅𝒆𝒓 𝒐𝒇 𝑶𝒑𝒑𝒐𝒔𝒊𝒕𝒊𝒐𝒏 𝒊𝒏 𝑳𝒐𝒌 𝑺𝒂𝒃𝒉𝒂 AtalBihariVajpayeeJi as the Leader of Opposition, spoke with a fervor against corruption that still echoes in the halls of the Lok Sabha. . AtalBihariVajpayeeJayanti IndianPolitics",neutral,0.7993367314338684
Six : He won from six Lok Sabha (lower house of Indian parliament) constituency.,2023-12-25 10:52:00,0,1,2024,Six : He won from six Lok Sabha (lower house of Indian parliament) constituency.,neutral,0.6125530004501343
If Gender is Reversed = Men would have been arrested for - Outraging women modesty(354) - Eve teasing (509) - Stalking (354D) Thanks to @asadowaisi for raising voice on parliament against Draconian #GenderBiasedLaws when other MPs were just laughing. #MenToo #LokSabha #NewLaw,2023-12-24 03:11:00,95,2,2024,If Gender is Reversed = Men would have been arrested for - Outraging women modesty(354) - Eve teasing (509) - Stalking (354D) Thanks to for raising voice on parliament against Draconian GenderBiasedLaws when other MPs were just laughing. MenToo LokSabha NewLaw,negative,0.5446096062660217
"💥Ahead of Lok Sabha elections, Himachal Youth Congress appoints heads for all 4 parliamentary constituencies 💥 #YouthLeadership #LokSabhaElections2024 #HimachalYouthCongress #TNR @INCHimachal @incyouth Read Full Article👇 https://thenewzradar.com/himachal-pradesh/ahead-of-lok-sabha-elections-himachal-youth-congress-appoints-heads-for-all-4-parliamentary-constituencies/",2023-12-25 10:52:00,0,0,2024,"💥Ahead of Lok Sabha elections, Himachal Youth Congress appoints heads for all 4 parliamentary constituencies 💥 YouthLeadership LokSabhaElections2024 HimachalYouthCongress TNR Read Full Article👇",neutral,0.8013456463813782
"😂😂 you should write: ""NDA alliance will break before the Lok Sabha) elections..."" . - 🍻🥃🥂🍾🍾🍻🍺🍻🥂🍻🍾🍹🍺🍻🍸🥃🍺🍷🥃🍻🥂🍷🍸🍺",2023-12-25 10:52:00,0,0,2024,"😂😂 you should write: ""NDA alliance will break before the Lok Sabha) elections..."" . - 🍻🥃🥂🍾🍾🍻🍺🍻🥂🍻🍾🍹🍺🍻🍸🥃🍺🍷🥃🍻🥂🍷🍸🍺",neutral,0.7442808151245117
"“Baune Duryodhan…” Lok Sabha MP Ramesh Bidhuri rains fire at Opposition with ‘hard-hitting’ facts about their leaders including Nehru ji, and so-called democracy during their rule",2023-12-23 15:56:00,4725,34,2024,"“Baune Duryodhan…” Lok Sabha MP Ramesh Bidhuri rains fire at Opposition with ‘hard-hitting’ facts about their leaders including Nehru ji, and so-called democracy during their rule",neutral,0.6360559463500977
"The Congress will be fully prepared for the 2024 Lok Sabha polls and will take steps to make the Indian National Developmental, Inclusive Alliance (INDIA) an “effective bulwark and force” against the BJP and its allies. https://trib.al/H0XnFTJ",2023-12-21 21:00:00,58,5,2024,"The Congress will be fully prepared for the 2024 Lok Sabha polls and will take steps to make the Indian National Developmental, Inclusive Alliance (INDIA) an “effective bulwark and force” against the BJP and its allies.",neutral,0.5275107622146606
"Prime Minister Narendra Modi, along with Lok Sabha Speaker Om Birla, Defence Minister Rajnath Singh, and other BJP leaders paid heartfelt tributes to eminent freedom fighter and former Congressman Madan Mohan Malviya on the occasion #OmmcomNews https://ommcomnews.com/india-news/pm-modi-others-pay-homage-to-madan-mohan-malviya-on-his-162nd-birth-anniversary",2023-12-25 10:50:00,0,0,2024,"Prime Minister Narendra Modi, along with Lok Sabha Speaker Om Birla, Defence Minister Rajnath Singh, and other BJP leaders paid heartfelt tributes to eminent freedom fighter and former Congressman Madan Mohan Malviya on the occasion OmmcomNews",positive,0.6682751178741455
ఈసారి లోక్ సభ ఎన్నికల్లో తెలంగాణలో కాంగ్రెస్ ఎన్ని స్థానాల్లో గెలుస్తుంది? #CongressParty #Loksabha,2023-12-25 10:49:00,0,0,2024,ఈసారి లోక్ సభ ఎన్నికల్లో తెలంగాణలో కాంగ్రెస్ ఎన్ని స్థానాల్లో గెలుస్తుంది? CongressParty Loksabha,neutral,0.7394858598709106
No Alternative to BJP. They will easily get 350-375+ seats in 2024 Lok Sabha elections due to their outstanding work. -Vetran Actor Nana Patekar,2023-12-25 10:35:00,13,0,2024,No Alternative to BJP. They will easily get 350-375+ seats in 2024 Lok Sabha elections due to their outstanding work. -Vetran Actor Nana Patekar,positive,0.7163210511207581
After Lok Sabha elections he will say EVM’s were hacked.,2023-12-25 10:49:00,0,0,2024,After Lok Sabha elections he will say EVM’s were hacked.,neutral,0.49593430757522583
"Lok Sabha Passes Maternity Benifits (Ammendment) Bill, 2016 https://www.narendramodi.in/category/infographics via NaMo App #ViksitBharatAmbassador #NaMo @narendramodi @JPNaddaji @AmitShah @blsanthosh @Tejasvi_Surya @amitmalviya @MrsGandhi @smritiirani @VanathiBJP @BYVijayendra @SujataPadhyBJP",2023-12-25 10:47:00,0,0,2024,"Lok Sabha Passes Maternity Benifits (Ammendment) Bill, 2016 via NaMo App ViksitBharatAmbassador NaMo",neutral,0.9087730050086975
"Congress demands answers from Home Minister Amit Shah on the breach. Fair point. But Om Birla, the Speaker of Lok Sabha, is already on it with an inquiry committee. Transparency in action – that's what we need, right? #ParliamentAttack #parliamentsuspended",2023-12-25 10:46:00,0,1,2024,"Congress demands answers from Home Minister Amit Shah on the breach. Fair point. But Om Birla, the Speaker of Lok Sabha, is already on it with an inquiry committee. Transparency in action – that's what we need, right? ParliamentAttack parliamentsuspended",neutral,0.8154777884483337
"Chaos in the Lok Sabha: Two intruders, yellow smoke, slogans. Sounds like a movie scene, but it's real. This security breach isn't just a headline; it's a wake-up call. #ParliamentAttack #parliamentsuspended #parliamentseuritybreach",2023-12-25 10:46:00,0,1,2024,"Chaos in the Lok Sabha: Two intruders, yellow smoke, slogans. Sounds like a movie scene, but it's real. This security breach isn't just a headline; it's a wake-up call. ParliamentAttack parliamentsuspended parliamentseuritybreach",negative,0.9110303521156311
जयवर्धन सिंह ने कार्यकर्ताओं का जताया आभार लोकसभा के लिए जी जान से जुटें कांग्रेस जन मीटिंग में न आऊं तो मुझे भी नोटिस जारी करें #Elections2024 #LokSabha #Congress #MadhyaPradesh @INCMP @JVSinghINC https://invidious.perennialte.ch/sPOvcDr1YqQ,2023-12-25 10:45:00,0,0,2024,जयवर्धन सिंह ने कार्यकर्ताओं का जताया आभार लोकसभा के लिए जी जान से जुटें कांग्रेस जन मीटिंग में न आऊं तो मुझे भी नोटिस जारी करें Elections2024 LokSabha Congress MadhyaPradesh,neutral,0.8095378279685974
Sidhi Pathak nhi bniii Hoskta h loksabha election firse ldeee,2023-12-25 10:44:00,1,0,2024,Sidhi Pathak nhi bniii Hoskta h loksabha election firse ldeee,neutral,0.8557077050209045
Ye sab faltu ki baat hain..10 caror abadi hain bengali hindu ki... egypt ki population ke barabar ...aisa bhi kharab conditions nahi hain..,2023-12-25 10:44:00,0,1,2024,Ye sab faltu ki baat hain..10 caror abadi hain bengali hindu ki... egypt ki population ke barabar ...aisa bhi kharab conditions nahi hain..,neutral,0.6749026775360107
चुनाव हार चुकी Congress पर Loksabha Election 2024 से पहले बड़ा संकट!,2023-12-24 11:45:00,202,1,2024,चुनाव हार चुकी Congress पर Loksabha Election 2024 से पहले बड़ा संकट!,neutral,0.8120664358139038
ಸಂಕ್ರಾಂತಿ ನಂತರ ಕಾಂಗ್ರೆಸ್‌ನಲ್ಲಿ ಹೊಸ ಕ್ರಾಂತಿ ಶುರುವಾಗುತ್ತೆ #vistaranews #saleemahmed #congressgovernment #congress #loksabha,2023-12-25 10:43:00,0,0,2024,ಸಂಕ್ರಾಂತಿ ನಂತರ ಕಾಂಗ್ರೆಸ್‌ನಲ್ಲಿ ಹೊಸ ಕ್ರಾಂತಿ ಶುರುವಾಗುತ್ತೆ vistaranews saleemahmed congressgovernment congress loksabha,neutral,0.7624030113220215
Jammu and Kashmir #Congress leaders are scheduled to meet party leadership in the national capital on Tuesday to discuss election preparedness for the 2024 Lok Sabha polls. . #LoksabhaElection2024 #loksabha2024 #JammuKashmir #kashmir #Elections2024,2023-12-25 09:28:00,4,0,2024,Jammu and Kashmir Congress leaders are scheduled to meet party leadership in the national capital on Tuesday to discuss election preparedness for the 2024 Lok Sabha polls. . LoksabhaElection2024 loksabha2024 JammuKashmir kashmir Elections2024,neutral,0.9466264843940735
Chhattisgarh CM Vishnu Deo Sai transfers bonus paddy amount to farmers. This electoral promise was one of the reason for BJP’s victory. Vishnu Deo Sai is a experienced person and he know fulfilling manifesto promises are important for Loksabha elections. Whereas Madhya Pradesh CM due to lack of experience has not started preparations and just acting as a Ujjain MLA right now.,2023-12-25 10:41:00,2,0,2024,Chhattisgarh CM Vishnu Deo Sai transfers bonus paddy amount to farmers. This electoral promise was one of the reason for BJP’s victory. Vishnu Deo Sai is a experienced person and he know fulfilling manifesto promises are important for Loksabha elections. Whereas Madhya Pradesh CM due to lack of experience has not started preparations and just acting as a Ujjain MLA right now.,positive,0.705263078212738
Why should someone reply to a 2 minute attention seeker ? Paying back to the BJP for safeguarding in liquor scam ? Is it an indication that BRS is getting aligned with BJP for upcoming Lok Sabha Election ?? #justAsking,2023-12-25 09:57:00,9,0,2024,Why should someone reply to a 2 minute attention seeker ? Paying back to the BJP for safeguarding in liquor scam ? Is it an indication that BRS is getting aligned with BJP for upcoming Lok Sabha Election ?? justAsking,negative,0.5939163565635681
indore lok sabha ke liye cong ka kaunsa candiddate accha hoga,2023-12-25 10:39:00,0,2,2024,indore lok sabha ke liye cong ka kaunsa candiddate accha hoga,neutral,0.8425876498222351
"Heartfelt congratulations to @DeepaDasmunsi Ji on assuming the role of General Secretary in Telangana. 💐 With your leadership, I am confident that Congress will secure a significant number of seats in the 2024 Lok Sabha elections in Telangana. #Telangana",2023-12-24 04:06:00,392,10,2024,"Heartfelt congratulations to Ji on assuming the role of General Secretary in Telangana. 💐 With your leadership, I am confident that Congress will secure a significant number of seats in the 2024 Lok Sabha elections in Telangana. Telangana",positive,0.9741415977478027
Speaking in the Lok Sabha on two landmark bills related to the Jammu and Kashmir. https://nitter.perennialte.ch/i/broadcasts/1rmxPMjBroXKN,2023-12-06 09:25:00,8623,282,2024,Speaking in the Lok Sabha on two landmark bills related to the Jammu and Kashmir.,neutral,0.8911409974098206
Mp se bhi bura haal hoga haryana mein,2023-12-25 10:36:00,0,0,2024,Mp se bhi bura haal hoga haryana mein,neutral,0.8069466948509216
How many Loksabha seats the BJP will win in next 2024 Loksabha elections?,2023-12-25 09:59:00,4,0,2024,How many Loksabha seats the BJP will win in next 2024 Loksabha elections?,neutral,0.8927388191223145
"Prime Minister #NarendraModi, along with #LokSabha Speaker Om Birla, Defence Minister #RajnathSingh, and other BJP leaders paid heartfelt tributes to eminent freedom fighter and former Congressman #MadanMohanMalviya on occasion of his 162nd birth anniversary at Samvidhan Sadan.",2023-12-25 10:35:00,0,0,2024,"Prime Minister NarendraModi, along with LokSabha Speaker Om Birla, Defence Minister RajnathSingh, and other BJP leaders paid heartfelt tributes to eminent freedom fighter and former Congressman MadanMohanMalviya on occasion of his 162nd birth anniversary at Samvidhan Sadan.",positive,0.6921213865280151
What Rajiv Gandhi said in Lok Sabha when VP Singh govt decided to implement Mandal report reccos: I charge you with this: you have taken the country to the edge of caste wars #CasteCensus #OBCReservation,2023-10-05 08:38:00,1255,41,2024,What Rajiv Gandhi said in Lok Sabha when VP Singh govt decided to implement Mandal report reccos: I charge you with this: you have taken the country to the edge of caste wars CasteCensus OBCReservation,negative,0.5918090343475342
"This winter session of the Loksabha, in which many important bills were to be presented, has been converted to an opposition-free session by suspending two third of the opposition members",2023-12-22 04:07:00,159,0,2024,"This winter session of the Loksabha, in which many important bills were to be presented, has been converted to an opposition-free session by suspending two third of the opposition members",neutral,0.8207058906555176
"HUGE BREAKING - Rajya Sabha passes 3 criminal bills. Yesterday, the bills were passed by loksabha. Home Minister Amit Shah said ""No Sympathy for terrorists 🔥🔥 For the first time, terrorism is defined and included as a separate category in the general crime law"" He said ""This is a pure Indian law after removing all the British imprints"" As per the bill ""The judge has to hold the hearing in seven days and in a maximum time of 120 days, the case would come to trial"". History created 🔥",2023-12-21 15:43:00,24135,155,2024,"HUGE BREAKING - Rajya Sabha passes 3 criminal bills. Yesterday, the bills were passed by loksabha. Home Minister Amit Shah said ""No Sympathy for terrorists 🔥🔥 For the first time, terrorism is defined and included as a separate category in the general crime law"" He said ""This is a pure Indian law after removing all the British imprints"" As per the bill ""The judge has to hold the hearing in seven days and in a maximum time of 120 days, the case would come to trial"". History created 🔥",neutral,0.5941810011863708
Started singing bjp’s tune oh Lok Sabha elections are near and you want to be in alliance with them to defeat congress,2023-12-25 10:34:00,0,0,2024,Started singing bjp’s tune oh Lok Sabha elections are near and you want to be in alliance with them to defeat congress,neutral,0.6347095966339111
"ABP CVoter Lok Sabha Opinion Poll 2024 Uttar Pradesh : 80 seats BJP+ : 73-75 | 49% Vote Share SP+ : 4-6 | 35% BSP : 0-2 | 5% In the 2024 Lok Sabha elections, the vote share of BSP will be around 10% and that of BJP will be more than 50%.",2023-12-24 16:48:00,411,8,2024,"ABP CVoter Lok Sabha Opinion Poll 2024 Uttar Pradesh : 80 seats BJP+ : 73-75 | 49% Vote Share SP+ : 4-6 | 35% BSP : 0-2 | 5% In the 2024 Lok Sabha elections, the vote share of BSP will be around 10% and that of BJP will be more than 50%.",neutral,0.918057918548584
"And the wait is over... Chief Electoral Officer, Gujarat presents Digital Content Competition If you can create that encourage voters to #Vote during Lok Sabha Elections 2024, then the stage is yours.. https://chunavsetu.gujarat.gov.in/DigitalCreator Bring out the best... #ECI #sveep #gujarat",2023-12-24 18:44:00,24,1,2024,"And the wait is over... Chief Electoral Officer, Gujarat presents Digital Content Competition If you can create that encourage voters to Vote during Lok Sabha Elections 2024, then the stage is yours.. Bring out the best... ECI sveep gujarat",positive,0.8865000605583191
No Alternative to BJP. They will easily get 350-375+ seats in 2024 Lok Sabha elections due to their outstanding work. -Vetran Actor Nana Patekar 📹 credits - Zee business,2023-12-25 10:32:00,1,0,2024,No Alternative to BJP. They will easily get 350-375+ seats in 2024 Lok Sabha elections due to their outstanding work. -Vetran Actor Nana Patekar 📹 credits - Zee business,positive,0.7507480382919312
"Yeh jhuth bol raha he Rajstan walo sirf Loksabha election Tak hi yeh chiranjeevi scheme chalegi,pehle rajyasabha me jawab de chuke hai Rajastan me koyi 450 me gass nehi milega",2023-12-25 10:32:00,0,0,2024,"Yeh jhuth bol raha he Rajstan walo sirf Loksabha election Tak hi yeh chiranjeevi scheme chalegi,pehle rajyasabha me jawab de chuke hai Rajastan me koyi 450 me gass nehi milega",neutral,0.8059559464454651
'There will be dictatorship in India if...': Uddhav Thackeray ahead of Lok Sabha polls https://msft.it/6013idOal,2023-12-25 10:32:00,0,0,2024,'There will be dictatorship in India if...': Uddhav Thackeray ahead of Lok Sabha polls,negative,0.5668657422065735
Is opposition mocking vice president bigger question that 200 mp ousted from lok sabha....bevkoof bana rakha hai ....this time I agree with @INCIndia and @RahulGandhi,2023-12-25 10:31:00,0,0,2024,Is opposition mocking vice president bigger question that 200 mp ousted from lok sabha....bevkoof bana rakha hai ....this time I agree with and,neutral,0.5561091303825378
"Prime Minister Narendra Modi, Lok Sabha Speaker Om Birla, Rajya Sabha Deputy Chairman Harivansh, Defence Minister Rajnath Singh, BJP national president JP Nadda and other leaders pay tribute to Pandit Madan Mohan Malaviya at Central Hall in the Parliament, on his birth anniversary.",2023-12-25 07:42:00,58,0,2024,"Prime Minister Narendra Modi, Lok Sabha Speaker Om Birla, Rajya Sabha Deputy Chairman Harivansh, Defence Minister Rajnath Singh, BJP national president JP Nadda and other leaders pay tribute to Pandit Madan Mohan Malaviya at Central Hall in the Parliament, on his birth anniversary.",neutral,0.6104278564453125
Bjp will do better in bengal than bihar..,2023-12-25 10:31:00,8,1,2024,Bjp will do better in bengal than bihar..,positive,0.6845124959945679
Good cabinet in MP ratio of OBC and scst good and allow this ratio in utter Pradesh cabinetextention within week to loksabha election 24 Ok,2023-12-25 10:30:00,0,0,2024,Good cabinet in MP ratio of OBC and scst good and allow this ratio in utter Pradesh cabinetextention within week to loksabha election 24 Ok,positive,0.733174204826355
Degana Nagaur lok sabha me nahi hai,2023-12-25 10:30:00,0,0,2024,Degana Nagaur lok sabha me nahi hai,neutral,0.8403778672218323
"@BJP4India is doing a Christian outreach four months before the Lok Sabha elections, will they fall for it?",2023-12-25 10:30:00,0,0,2024,"is doing a Christian outreach four months before the Lok Sabha elections, will they fall for it?",neutral,0.6580790877342224
He will be in Jail before Lok Sabha elections for the illegal assets case which is still pending.,2023-12-25 10:29:00,2,1,2024,He will be in Jail before Lok Sabha elections for the illegal assets case which is still pending.,negative,0.49947893619537354
"The Prime Minister actually conducted mimicry of the Opposition leaders inside the Lok Sabha, and the video is available and that was not allowed to be discussed.",2023-12-25 04:06:00,19,2,2024,"The Prime Minister actually conducted mimicry of the Opposition leaders inside the Lok Sabha, and the video is available and that was not allowed to be discussed.",neutral,0.6069766879081726
didn't took lessons from the mahua moitra incident. he should be thrown out of the lok sabha.,2023-12-25 10:28:00,2,0,2024,didn't took lessons from the mahua moitra incident. he should be thrown out of the lok sabha.,negative,0.8951586484909058
Nana Patekar on Lok Sabha,2023-12-25 10:26:00,0,0,2024,Nana Patekar on Lok Sabha,neutral,0.8768489956855774
I ND I A ALIGNMENT MUST FOKUS ON INTRODUCTION OF BALLOT PAPER CANCELLING EVM I 2024 LOKSABHA ELECTION -- IMPARTIAL SELECTION COMMITTEE FOR CEC ALSO MOST IMPORTANT NOW --- JOINT BHARAT JODO JATRA SHOULD BE STARTED SOON BY ALL MEMBERS OF I N D I A,2023-12-25 10:26:00,0,0,2024,I ND I A ALIGNMENT MUST FOKUS ON INTRODUCTION OF BALLOT PAPER CANCELLING EVM I 2024 LOKSABHA ELECTION -- IMPARTIAL SELECTION COMMITTEE FOR CEC ALSO MOST IMPORTANT NOW --- JOINT BHARAT JODO JATRA SHOULD BE STARTED SOON BY ALL MEMBERS OF I N D I A,neutral,0.6838784217834473
मैंने आज तक वीरेंद्र पहलवान जितनी कमिटमेंट वाला खिलाड़ी नहीं देखा. सलाम है इस जज़्बे को 🙏,2023-12-25 09:46:00,3316,28,2024,मैंने आज तक वीरेंद्र पहलवान जितनी कमिटमेंट वाला खिलाड़ी नहीं देखा. सलाम है इस जज़्बे को 🙏,neutral,0.7906008362770081
"Sharing some excerpts from my opening remarks in the Congress Working Committee (CWC) Meeting. • We have convened this Congress Working Committee (CWC) meeting to address our preparedness for the imminent Lok Sabha Elections. • The outcomes of the recent Assembly elections in five states, barring Telangana, were disappointing. Along with Rahul Gandhi Ji, I engaged with leaders from each of the four states to conduct a preliminary analysis of the election results and identified the reasons for our disappointing performance. • Despite the results, there are some positive indicators, such as the vote share in these states, that gives us a definite hope that given due attention, we can certainly turn things around. • We have learnt valuable lessons from the mistakes we have made and are committed to avoiding a recurrence of them. • The Fourth meeting of the INDIA Alliance was held on December 19, 2023. In the meeting, it was unanimously agreed that the seat-sharing process must start immediately. • To facilitate this, a 5-member National Alliance Committee has been established to engage with various parties in different states, as needed. • The issue of Electronic Voting Machine (EVM) manipulation was also discussed in the meeting. A resolution was passed in this regard. • Lok Sabha Elections are not too far, we don’t have much time left. I would urge everyone to concentrate on actionable points and the necessary steps that can be taken for the upcoming General elections.",2023-12-21 10:56:00,2568,96,2024,"Sharing some excerpts from my opening remarks in the Congress Working Committee (CWC) Meeting. • We have convened this Congress Working Committee (CWC) meeting to address our preparedness for the imminent Lok Sabha Elections. • The outcomes of the recent Assembly elections in five states, barring Telangana, were disappointing. Along with Rahul Gandhi Ji, I engaged with leaders from each of the four states to conduct a preliminary analysis of the election results and identified the reasons for our disappointing performance. • Despite the results, there are some positive indicators, such as the vote share in these states, that gives us a definite hope that given due attention, we can certainly turn things around. • We have learnt valuable lessons from the mistakes we have made and are committed to avoiding a recurrence of them. • The Fourth meeting of the INDIA Alliance was held on December 19, 2023. In the meeting, it was unanimously agreed that the seat-sharing process must start immediately. • To facilitate this, a 5-member National Alliance Committee has been established to engage with various parties in different states, as needed. • The issue of Electronic Voting Machine (EVM) manipulation was also discussed in the meeting. A resolution was passed in this regard. • Lok Sabha Elections are not too far, we don’t have much time left. I would urge everyone to concentrate on actionable points and the necessary steps that can be taken for the upcoming General elections.",neutral,0.7929770946502686
ABP News C Voters Opinion poll for Punjab Lok Sabha Cong - 7 AAP - 4 SAD - 1 BJP - 1 Congress party set to retain its seats in Punjab in Lok Sabha in 2024 elections. Rahul Gandhi emerges as most popular national leader in Punjab.,2023-12-24 14:32:00,709,20,2024,ABP News C Voters Opinion poll for Punjab Lok Sabha Cong - 7 AAP - 4 SAD - 1 BJP - 1 Congress party set to retain its seats in Punjab in Lok Sabha in 2024 elections. Rahul Gandhi emerges as most popular national leader in Punjab.,neutral,0.5143247842788696
"Jammu & Kashmir Congress leaders to meet Mallikarjun Kharge, discuss Lok Sabha election preparations toi.in/WZP3jZ/a24gk",2023-12-25 10:15:00,5,1,2024,"Jammu & Kashmir Congress leaders to meet Mallikarjun Kharge, discuss Lok Sabha election preparations toi.in/WZP3jZ/a24gk",neutral,0.9492383003234863
"#WATCH | BJP president #JPNadda, Defence minister #RajnathSingh, Lok Sabha Speaker #OmBirla and Union Finance minister #NirmalaSitharaman pay tributes to former PM #AtalBihariVajpayee at Sadaiv Atal in #Delhi on his birth anniversary 📹 ANI",2023-12-25 04:24:00,141,0,2024,"WATCH | BJP president JPNadda, Defence minister RajnathSingh, Lok Sabha Speaker OmBirla and Union Finance minister NirmalaSitharaman pay tributes to former PM AtalBihariVajpayee at Sadaiv Atal in Delhi on his birth anniversary 📹 ANI",neutral,0.8034155368804932
Loksabha chunav ke bad sambandh Ho jaayengi,2023-12-25 10:24:00,1,0,2024,Loksabha chunav ke bad sambandh Ho jaayengi,negative,0.6215595006942749
All I want for Christmas is.. BJP will bring 400 seat in Loksabha Election in 2024 and MODI JI will become Prime Minister of India once again.,2023-12-25 10:23:00,0,0,2024,All I want for Christmas is.. BJP will bring 400 seat in Loksabha Election in 2024 and MODI JI will become Prime Minister of India once again.,positive,0.8784565329551697
I think Congress and Tmc should fight in alliance. Congress on 6 and TMC on 36. Both can win 36 loksabha seats,2023-12-25 10:23:00,0,1,2024,I think Congress and Tmc should fight in alliance. Congress on 6 and TMC on 36. Both can win 36 loksabha seats,neutral,0.5802595615386963
"Lok Sabha 2024 Karnataka. Kolar Lok Sabha seat bordering Tamil Nadu and Andhra Pradesh in East Karnataka has to be the most befuddling constituency , most confusing constituency in this entire country. Last time in 2018 assembly elections, BJP lost all 8 assembly segments, in fact was nowhere in those 8 seats, yet BJP won Lok Sabha 2019 comfortably. This time in 2023 assembly elections too, BJP again managed to lose all 8 assembly segments, marginally improved its vote share though but looks like BJP will again win this crazy Lok Sabha seat in 2024, watch this video. Karnataka people are notorious for completely opposite voting. https://invidious.perennialte.ch/watch?v=WEMRVhLN7No",2023-12-25 10:22:00,14,5,2024,"Lok Sabha 2024 Karnataka. Kolar Lok Sabha seat bordering Tamil Nadu and Andhra Pradesh in East Karnataka has to be the most befuddling constituency , most confusing constituency in this entire country. Last time in 2018 assembly elections, BJP lost all 8 assembly segments, in fact was nowhere in those 8 seats, yet BJP won Lok Sabha 2019 comfortably. This time in 2023 assembly elections too, BJP again managed to lose all 8 assembly segments, marginally improved its vote share though but looks like BJP will again win this crazy Lok Sabha seat in 2024, watch this video. Karnataka people are notorious for completely opposite voting.",negative,0.6443731188774109
Lok Sabha Elections 2024 Survey : इंडिया गठबंधन भाजपा पर पड़ेगा भारी? यूपी में BJP को मिलेंगी कितनी सीटें? https://hindi.oneindia.com/news/uttar-pradesh/lok-sabha-elections-2024-nda-vs-india-how-many-seats-bjp-get-uttar-pradesh-abp-cvoter-survey-864137.html #LokSabhaElection2024,2023-12-25 10:18:00,0,0,2024,Lok Sabha Elections 2024 Survey : इंडिया गठबंधन भाजपा पर पड़ेगा भारी? यूपी में BJP को मिलेंगी कितनी सीटें? LokSabhaElection2024,neutral,0.8669739961624146
"#EXCLUSIVE: ना यादव, ना दलित का, वोट पड़ेगा राम भक्तों का! 'सनातन वोटर्स'..वर्ल्ड रिकॉर्ड बनाने वाले हैं! @jyotimishra999 के साथ देखिए, EXCLUSIVE रिपोर्ट #PMModi #BJP #Loksabha #Elections #Congress @PreritTweet",2023-12-24 15:45:00,110,8,2024,"EXCLUSIVE: ना यादव, ना दलित का, वोट पड़ेगा राम भक्तों का! 'सनातन वोटर्स'..वर्ल्ड रिकॉर्ड बनाने वाले हैं! के साथ देखिए, EXCLUSIVE रिपोर्ट PMModi BJP Loksabha Elections Congress",neutral,0.7992386221885681
What random “historian” with @narendramodi in bio won’t tell you is that Mamta Banerjee has been in active politics since the 70s and was elected to Lok Sabha in 1984 having defeated the veteran Communist leader Somnath Chatterjee. So the NDA allied with her for what …1/n,2023-12-25 10:17:00,0,1,2024,What random “historian” with in bio won’t tell you is that Mamta Banerjee has been in active politics since the 70s and was elected to Lok Sabha in 1984 having defeated the veteran Communist leader Somnath Chatterjee. So the NDA allied with her for what …1/n,neutral,0.8695974349975586
Aage chalkar 2014 me bjp ki lahar me sansad ban gaye fir 2019 me bjp ne loksabha ki ticket nahi di. 🤣🤣🤣,2023-12-25 10:17:00,0,0,2024,Aage chalkar 2014 me bjp ki lahar me sansad ban gaye fir 2019 me bjp ne loksabha ki ticket nahi di. 🤣🤣🤣,neutral,0.6586312651634216
"Lok Sabha Passes Maternity Benifits (Ammendment) Bill, 2016 https://www.narendramodi.in/category/infographics via NaMo App",2023-12-25 10:15:00,0,0,2024,"Lok Sabha Passes Maternity Benifits (Ammendment) Bill, 2016 via NaMo App",neutral,0.9318997263908386
Nana Patekar : “There is no alternative to the BJP in 2024 Lok Sabha elections. They will come back to power with 350 seats.”,2023-12-25 10:14:00,0,0,2024,Nana Patekar : “There is no alternative to the BJP in 2024 Lok Sabha elections. They will come back to power with 350 seats.”,neutral,0.7911503314971924
No Alternative To PM Modi In 2024 Lok Sabha Polls: Ajit Pawar Ajit Pawar was replying to a query by reporters on the opposition parties planning to challenge PM Modi's leadership ahead of the Lok Sabha polls due next year. https://qr.ae/pKZNyl,2023-12-25 10:14:00,0,0,2024,No Alternative To PM Modi In 2024 Lok Sabha Polls: Ajit Pawar Ajit Pawar was replying to a query by reporters on the opposition parties planning to challenge PM Modi's leadership ahead of the Lok Sabha polls due next year.,neutral,0.8996476531028748
Loksabha Election Opinion Poll 2024 https://invidious.perennialte.ch/Y21mXuYhgLY?si=l0r88EqFGcA7euBQ via @YouTube,2023-12-25 10:12:00,0,0,2024,Loksabha Election Opinion Poll 2024 via,neutral,0.9262206554412842
